,0,1,2,3,4,5,6,7,8,9
greedy_0,0.24,0.24242424242424243,0.23469387755102042,0.2268041237113402,0.21875,0.22105263157894736,0.2127659574468085,0.21505376344086022,0.20652173913043478,0.2087912087912088
greedy_1,0.25,0.24242424242424243,0.24489795918367346,0.25773195876288657,0.2604166666666667,0.25263157894736843,0.22340425531914893,0.22580645161290322,0.21739130434782608,0.2087912087912088
greedy_2,0.25,0.25252525252525254,0.24489795918367346,0.24742268041237114,0.25,0.25263157894736843,0.24468085106382978,0.23655913978494625,0.21739130434782608,0.2087912087912088
greedy_3,0.24,0.24242424242424243,0.2653061224489796,0.24742268041237114,0.23958333333333334,0.25263157894736843,0.23404255319148937,0.22580645161290322,0.22826086956521738,0.21978021978021978
greedy_4,0.24,0.26262626262626265,0.24489795918367346,0.24742268041237114,0.23958333333333334,0.22105263157894736,0.2127659574468085,0.20430107526881722,0.21739130434782608,0.21978021978021978
greedy_5,0.26,0.26262626262626265,0.2653061224489796,0.25773195876288657,0.25,0.25263157894736843,0.24468085106382978,0.23655913978494625,0.2391304347826087,0.23076923076923078
greedy_6,0.3,0.2828282828282828,0.2755102040816326,0.26804123711340205,0.25,0.24210526315789474,0.20212765957446807,0.20430107526881722,0.20652173913043478,0.1978021978021978
greedy_7,0.33,0.31313131313131315,0.30612244897959184,0.29896907216494845,0.2916666666666667,0.29473684210526313,0.2765957446808511,0.24731182795698925,0.22826086956521738,0.2087912087912088
greedy_8,0.22,0.2222222222222222,0.20408163265306123,0.20618556701030927,0.21875,0.2,0.20212765957446807,0.20430107526881722,0.20652173913043478,0.2087912087912088
greedy_9,0.26,0.26262626262626265,0.24489795918367346,0.21649484536082475,0.21875,0.24210526315789474,0.24468085106382978,0.23655913978494625,0.21739130434782608,0.21978021978021978
random_0,0.24,0.24,0.24,0.24,0.24,0.24,0.24242424242424243,0.21428571428571427,0.21428571428571427,0.21428571428571427
random_1,0.25,0.25252525252525254,0.2653061224489796,0.25773195876288657,0.2604166666666667,0.25,0.25,0.22105263157894736,0.22105263157894736,0.23157894736842105
random_2,0.25,0.25,0.26,0.24242424242424243,0.24242424242424243,0.22448979591836735,0.22448979591836735,0.23469387755102042,0.23469387755102042,0.23469387755102042
random_3,0.24,0.24,0.24,0.24242424242424243,0.23469387755102042,0.23469387755102042,0.24489795918367346,0.23469387755102042,0.23469387755102042,0.23469387755102042
random_4,0.24,0.24,0.24,0.23232323232323232,0.24489795918367346,0.24489795918367346,0.24742268041237114,0.22916666666666666,0.22916666666666666,0.22916666666666666
random_5,0.26,0.26,0.26,0.26,0.26262626262626265,0.2653061224489796,0.23711340206185566,0.23958333333333334,0.22916666666666666,0.23157894736842105
random_6,0.3,0.30303030303030304,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.28865979381443296,0.28865979381443296,0.28865979381443296,0.28125,0.28125
random_7,0.33,0.33,0.33,0.3333333333333333,0.336734693877551,0.336734693877551,0.336734693877551,0.3402061855670103,0.3229166666666667,0.3229166666666667
random_8,0.22,0.22,0.23232323232323232,0.23232323232323232,0.23232323232323232,0.23469387755102042,0.23469387755102042,0.23469387755102042,0.23469387755102042,0.23711340206185566
random_9,0.26,0.26,0.26,0.23232323232323232,0.23232323232323232,0.23232323232323232,0.23469387755102042,0.24742268041237114,0.24742268041237114,0.23958333333333334
